model	P	FDR
model1_Gam	0.0742123603761616	0.148424720752323
model1_Fun	0.862518387191943	0.862518387191943
model2_Gam	0.0181513373351755	0.0726053493407021
model2_Fun	0.364160874881953	0.485547833175937
