"","ename","inttime","survey","cluster","eanum","hhnum","hhid","intdate","burnyn","whatburn","whatburnother","spray","closewindow","closetime","airbricks","scrairbricks","sdoors","ceiling","result","otherresult","totvisit","nonanophfem","nonanophmal","gambiaef","gambiaem","funestusf","funestusm","othanophfem","othanophmal"
"308","odwar edward","2018-07-26 07:36:28.000",3,47,2,74,304702074,"2018-07-21 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"309","odwar edward","2018-07-20 09:53:08.000",3,47,3,2,304703002,"2018-07-23 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"310","odwar edward","2018-07-21 08:54:00.000",3,47,4,63,304704063,"2018-07-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,6,3,1,0,0,0,0,0
"311","0dwar edward","2018-07-23 08:21:22.000",3,47,5,97,304705097,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"312","odwar edward","2018-07-23 07:39:52.000",3,47,6,107,304706107,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,1,0,0,0,0,0,0
"313","odwar edward","2018-07-22 07:28:08.000",3,47,7,21,304707021,"2018-07-20 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"314","odwar edward","2018-07-22 09:22:48.000",3,47,8,16,304708016,"2018-07-19 00:00:00.000","Yes","Other","chacoal stove","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"315","odwar edward","2018-07-20 08:19:51.000",3,47,9,27,304709027,"2018-07-19 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"316","odwar edward","2018-07-19 09:28:39.000",3,47,10,46,304710046,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"317","NYANGABAKYE FRANCIS","2018-07-19 08:38:31.000",3,51,1,19,305101019,"2018-07-21 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,2,1,1,0,0,0,0,0
"318","NYANGABAKYE FRANCIS","2018-07-22 08:28:20.000",3,51,2,23,305102023,"2018-07-30 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"319","NYANGABAKYE FRANCIS","2018-07-21 08:59:39.000",3,51,3,94,305103094,"2018-07-20 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,1,0,0,0,0
"320","NYANGABAKYE FRANCIS","2018-07-30 08:17:05.000",3,51,4,15,305104015,"2018-07-20 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"321","NYANGABAKYE FRANCIS","2018-07-20 09:52:22.000",3,51,5,143,305105143,"2018-07-30 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"322","NYANGABAKYE FRANCIS","2018-07-24 09:05:24.000",3,51,6,89,305106089,"2018-07-24 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"323","NYANGABAKYE FRANCIS","2018-07-20 08:31:29.000",3,51,7,125,305107125,"2018-07-31 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"324","NYANGABAKYE FRANCIS","2018-07-30 09:03:34.000",3,51,8,34,305108034,"2018-07-25 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"325","NYANGABAKYE FRANCIS","2018-07-24 07:45:36.000",3,51,9,14,305109014,"2018-07-21 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,0,0,2,0,0,0,0
"326","NYANGABAKYE FRANCIS","2018-07-31 07:11:50.000",3,51,10,42,305110042,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","After 10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,1,0,0,0,0,0
"327","NYANGABAKYE FRANCIS","2018-07-25 07:51:18.000",3,52,1,64,305201064,"2018-07-26 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"328","NYANGABAKYE FRANCIS","2018-07-21 07:49:09.000",3,52,2,82,305202082,"2018-07-25 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"329","NYANGABAKE FRANCIS","2018-07-22 07:59:48.000",3,52,3,37,305203037,"2018-07-26 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"330","NYANGABAKYE FRANCIS","2018-07-26 08:12:34.000",3,52,4,83,305204083,"2018-07-24 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,2,3,0,0,0,0
"331","NYANGABAKYE FRANCIS","2018-07-25 08:52:47.000",3,52,5,18,305205018,"2018-07-27 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,3,0,1,1,0,0,0,0
"332","NYANGABAKYE FRANCIS","2018-07-26 07:22:58.000",3,52,6,149,305206149,"2018-07-28 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"333","NYANGABAKYE FRANCIS","2018-07-27 07:09:32.000",3,52,7,9,305207009,"2018-07-27 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"334","NYANGABAKYE FRANCIS","2018-07-28 08:33:35.000",3,52,8,42,305208042,"2018-07-28 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
