"","ename","inttime","survey","cluster","eanum","hhnum","hhid","intdate","burnyn","whatburn","whatburnother","spray","closewindow","closetime","airbricks","scrairbricks","sdoors","ceiling","result","otherresult","totvisit","nonanophfem","nonanophmal","gambiaef","gambiaem","funestusf","funestusm","othanophfem","othanophmal"
"1","WATUWA PHILIP PETER","2019-03-18 07:45:27.000",3,29,5,226,302905226,"2019-03-19 00:00:00.000","Yes","Coil","-9","No","Yes","7-8pm","Yes(all)","Yes(all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"2","WATUWA PHILIP PETER","2019-03-18 08:06:08.000",3,29,4,18,302904018,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","After 10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"3","WATUWA PHILIP PETER","2019-03-18 08:33:49.000",3,29,2,7,302902007,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,2,0,0,0,0,0,0,0
"4","WATUWA PHILIP PETER","2019-03-18 08:56:27.000",3,29,3,25,302903025,"2019-03-18 00:00:00.000","Yes","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"5","WATUWA PHILIP PETER","2019-03-18 09:32:10.000",3,29,7,8,302907008,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"6","WATUWA PHILIP PETER","2019-03-15 14:41:46.000",3,2,7,24,300207024,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"7","WATUWA PHILIP PETER","2019-03-15 14:47:54.000",3,2,9,25,300209025,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","After 10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,2,0,0,0
"8","WATUWA PHILIP PETER","2019-03-15 14:52:53.000",3,2,8,23,300208023,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"9","WATUWA PHILIP PETER","2019-03-16 07:27:49.000",3,2,3,89,300203089,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"10","WATUWA PHILIP PETER","2019-03-16 08:31:41.000",3,2,4,7,300204007,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"11","WATUWA PHILIP PETER","2019-03-16 09:47:29.000",3,2,5,7,300205007,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"12","WATUWA PHILIP PETER","2019-03-17 07:48:04.000",3,2,2,35,300202035,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"13","WATUWA PHILIP PETER","2019-03-17 08:32:14.000",3,2,1,104,300201104,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,1,0,0,0,0,0
"14","WATUWA PHILIP PETER","2019-03-17 09:55:06.000",3,2,6,11,300206011,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"15","odwar edward","2019-03-20 07:17:42.000",3,28,9,50,302809050,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,2,1,0,0
"16","odwar edward","2019-03-20 08:20:44.000",3,28,7,90,302807090,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,2,0,0,0,0,0,0,0
"17","odwar edward","2019-03-20 09:13:10.000",3,28,8,145,302808145,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","Before 6pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"18","odwar edward","2019-03-20 09:39:31.000",3,28,1,78,302801078,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"19","odwar edward","2019-03-21 07:14:31.000",3,28,3,63,302803063,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,4,5,0,0,1,0,0,0
"20","odwar edward","2019-03-21 08:17:49.000",3,28,2,42,302802042,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"21","odwar edward","2019-03-21 08:34:59.000",3,28,4,8,302804008,"2019-03-21 00:00:00.000","Yes","Other","firewood","No","No","-9","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"22","odwar edward","2019-03-21 09:20:06.000",3,28,5,51,302805051,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","Before 6pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"23","odwar edward","2019-03-21 09:51:39.000",3,28,6,10,302806010,"2019-03-21 00:00:00.000","Yes","Other","firewood","No","No","-9","No(or not all)","-9","No(or not all)","No","Completed",-9,1,1,0,1,0,0,0,0,0
"24","odwar edward","2019-03-22 07:30:45.000",3,27,5,5,302705005,"2019-03-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,1,0,4,2,0,0,0,0
"25","odwar edward","2019-03-22 08:05:21.000",3,27,4,41,302704041,"2019-03-22 00:00:00.000","No","-9","-9","No","No","-9","No(or not all)","-9","No(or not all)","No","Completed",-9,1,2,1,0,0,0,0,0,0
"26","odwar edward","2019-03-22 09:00:40.000",3,27,2,70,302702070,"2019-03-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"27","odwar edward","2019-03-22 09:49:10.000",3,27,3,85,302703085,"2019-03-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"28","odwar edward","2019-03-23 07:40:30.000",3,27,7,188,302707188,"2019-03-23 00:00:00.000","Yes","Other","charcoal stove","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"29","odwar edward","2019-03-23 08:09:03.000",3,27,8,24,302708024,"2019-03-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,-9,0,0,0,0,0,0,0,0
"30","odwar edward","2019-03-23 08:53:05.000",3,27,1,144,302701144,"2019-03-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","Yes(all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"31","odwar edward","2019-03-23 09:30:02.000",3,27,6,25,302706025,"2019-03-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"32","odwar edward","2019-03-23 09:58:50.000",3,28,10,25,302810025,"2019-03-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"33","odwar edward","2019-03-24 07:53:20.000",3,27,10,48,302710048,"2019-03-24 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"34","odwar edward","2019-03-24 09:11:33.000",3,27,9,48,302709048,"2019-03-24 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"35","NYANGABAKYE FRANCIS","2019-03-17 07:45:33.000",3,3,5,44,300305044,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,1,0,0,0
"36","NYANGABAKYE FRANCIS","2019-03-19 07:28:01.000",3,29,9,84,302909084,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"37","NYANGABAKYE FRANCIS","2019-03-19 07:57:33.000",3,29,6,15,302906015,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"38","NYANGABAKYE FRANCIS","2019-03-19 08:21:22.000",3,29,8,109,302908109,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"39","NYANGABAKYE FRANCIS","2019-03-19 09:15:41.000",3,29,1,85,302901085,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"40","NYANGABAKYE FRANCIS","2019-03-20 07:08:38.000",3,29,10,75,302910075,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"41","NYANGABAKYE FRANCIS","2019-03-13 08:55:54.000",3,2,10,9,300210009,"2019-03-13 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"42","NYANGABAKYE FRANCIS","2019-03-14 07:37:39.000",3,3,1,11,300301011,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,2,3,3,2,0,0
"43","NYANGABAKYE FRANCIS","2019-03-14 08:25:53.000",3,3,10,12,300310012,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,2,0,0,2,0,0,0
"44","NYANGABAKYE FRANCIS","2019-03-14 09:04:34.000",3,3,9,53,300309053,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","Yes(all)","No(or not all)","No","Completed",-9,1,3,2,0,0,0,0,0,0
"45","NYANGABAKYE FRANCIS","2019-03-15 07:20:27.000",3,3,7,83,300307083,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"46","NYANGABAKYE FRANCIS","2019-03-15 08:08:27.000",3,3,6,7,300306007,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"47","NYANGABAKYE FRANCIS","2019-03-15 09:08:10.000",3,3,4,21,300304021,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,1,1,0,0,0,0,0
"48","NYANGABAKYE FRANCIS","2019-03-16 07:08:18.000",3,3,8,19,300308019,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,1,0,14,1,0,0
"49","NYANGABAKYE FRANCIS","2019-03-16 08:02:29.000",3,3,3,61,300303061,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,1,1,0,0,0,0,0,0
"50","NYANGABAKYE FRANCIS","2019-03-16 08:43:07.000",3,3,2,24,300302024,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"51","MUSASIZI ERIC","2019-03-16 08:16:41.000",3,13,3,79,301303079,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"52","MUSASIZI ERIC","2019-03-16 09:12:05.000",3,13,2,27,301302027,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"53","MUSASIZI ERIC","2019-03-17 08:02:39.000",3,13,6,38,301306038,"2019-03-17 00:00:00.000","No","-9","-9","Yes","Yes","8-9pm","No(or not all)","-9","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"54","MUSASIZI ERIC","2019-03-17 09:19:08.000",3,13,1,71,301301071,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"55","MUSASIZI ERIC","2019-03-19 08:35:09.000",3,50,1,17,305001017,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"56","MUSASIZI ERIC","2019-03-20 07:58:23.000",3,50,2,65,305002065,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"57","MUSASIZI ERIC","2019-03-20 09:13:01.000",3,50,3,66,305003066,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"58","NUWAMANYA PATRICK","2019-03-21 06:58:40.000",3,49,5,85,304905085,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","After 10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,1,0,0,0,0,0,0
"59","NUWAMANYA PATRICK","2019-03-21 08:09:04.000",3,49,6,201,304906201,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"60","NUWAMANYA PATRICK","2019-03-21 08:47:01.000",3,49,8,152,304908152,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"61","NUWAMANYA PATRICK","2019-03-21 09:27:08.000",3,49,7,2,304907002,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"62","NUWAMANYA PATRICK","2019-03-22 07:36:48.000",3,49,10,22,304910022,"2019-03-22 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"63","NUWAMANYA PATRICK","2019-03-22 08:44:24.000",3,49,9,42,304909042,"2019-03-22 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"64","NUWAMANYA PATRICK","2019-03-20 07:33:24.000",3,49,4,62,304904062,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,4,0,0,0,0,0,0,0
"65","NUWAMANYA PATRICK","2019-03-20 08:33:48.000",3,49,1,101,304901101,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"66","NUWAMANYA PATRICK","2019-03-20 09:27:56.000",3,49,3,97,304903097,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"67","NUWAMANYA PATRICK","2019-03-20 09:58:43.000",3,49,2,88,304902088,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,2,0,0,0,0,0,0,0
"68","NUWAMANYA PATRICK","2019-03-13 08:14:16.000",3,48,1,5,304801005,"2019-03-13 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"69","Nuwamanya Patrick","2019-03-14 07:56:17.000",3,48,2,56,304802056,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,1,0,0,0,0,0,0
"70","NUWAMANYA  PATRICK","2019-03-14 08:58:25.000",3,48,7,9,304807009,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"71","NUWAMANYA PATRICK","2019-03-14 09:50:17.000",3,48,8,57,304808057,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"72","NUWAMANYA PATRICK","2019-03-18 08:40:39.000",3,48,3,44,304803044,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"73","NUWAMANYA PATRICK","2019-03-18 09:50:05.000",3,48,4,22,304804022,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,4,1,0,0,0,0,0,0
"74","NUWAMANYA PATRICK","2019-03-19 07:17:39.000",3,48,9,19,304809019,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,2,0,0,0,0,0,0,0
"75","NUWAMANYA PATRICK","2019-03-19 08:10:51.000",3,48,10,13,304810013,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"76","NUWAMANYA PATRICK","2019-03-19 09:07:32.000",3,48,6,15,304806015,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"77","NUWAMANYA PATRICK","2019-03-19 09:58:46.000",3,48,5,1,304805001,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,2,1,0,0,0,0,0,0
"78","MUSASIZI ERIC","2019-03-21 08:02:16.000",3,50,4,79,305004079,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,2,1,0,0,0,0,0,0
"79","MUSASIZI ERIC","2019-03-21 08:45:38.000",3,50,5,32,305005032,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"80","MUSASIZI ERIC","2019-03-13 08:17:10.000",3,13,10,25,301310025,"2019-03-13 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"81","MUSASIZI ERIC","2019-03-14 07:20:02.000",3,13,9,16,301309016,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"82","MUSASIZI ERIC","2019-03-14 09:00:44.000",3,13,7,25,301307025,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"83","MUSASIZI ERIC","2019-03-14 09:40:50.000",3,13,8,46,301308046,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,1,0,0,0,0,0,0
"84","MUSASIZI ERIC","2019-03-15 08:05:06.000",3,13,5,8,301305008,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"85","MUSASIZI ERIC","2019-03-15 09:21:58.000",3,13,4,36,301304036,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,2,0,0,0,0,0,0,0,0
"86","odol wilfred","2019-03-17 09:08:21.000",3,26,6,50,302606050,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"87","odol wilfred","2019-03-17 09:51:04.000",3,26,7,33,302607033,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,1,0,0,0,0,0,0
"88","odol wilfred","2019-03-18 07:31:47.000",3,26,8,16,302608016,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"89","odol wilfred","2019-03-18 08:10:29.000",3,26,3,9,302603009,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"90","odol wilfred","2019-03-18 08:57:38.000",3,26,1,1,302601001,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","-9","Completed",-9,1,0,0,0,0,0,0,0,0
"91","odol wilfred","2019-03-18 09:36:21.000",3,26,2,33,302602033,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"92","odol wilfred","2019-03-19 07:42:56.000",3,26,10,4,302610004,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"93","odol wilfred","2019-03-19 08:35:27.000",3,26,9,97,302609097,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"94","odol wilfred","2019-03-20 07:19:01.000",3,26,4,41,302604041,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"95","odol wilfred","2019-03-20 08:08:03.000",3,26,5,32,302605032,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"96","odol wilfred","2019-03-16 09:01:52.000",3,25,10,100,302510100,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"97","odol wilfred","2019-03-17 07:26:09.000",3,25,4,37,302504037,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,1,0,0,0,0,0,0
"98","odol wilfred","2019-03-17 08:08:10.000",3,25,9,1,302509001,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,2,0,0,0,0,0,0,0,0
"99","odol wilfred","2019-03-14 08:35:49.000",3,25,1,33,302501033,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"100","odol wilfred","2019-03-14 09:11:04.000",3,25,8,89,302508089,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,6,3,0,0,0,0,0,0
"101","odol wilfred","2019-03-14 09:39:13.000",3,25,6,64,302506064,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","Yes(all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"102","odol wilfred","2019-03-15 08:03:33.000",3,25,7,38,302507038,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"103","odol wilfred","2019-03-15 08:45:34.000",3,25,5,48,302505048,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"104","odol wilfred","2019-03-15 09:24:45.000",3,25,3,105,302503105,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"105","odol wilfred","2019-03-16 07:37:11.000",3,25,2,136,302502136,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,2,0,0,0,0,0,0,0,0
"106","BATTE DERRICK JOVAN","2019-03-21 08:13:31.000",3,50,10,94,305010094,"2019-03-21 00:00:00.000","No","-9","-9","No","No","-9","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,2,4,1,0,0,0,0,0,0
"107","BATTE DERRICK JOVAN","2019-03-14 07:21:18.000",3,12,5,57,301205057,"2019-03-14 00:00:00.000","No","-9","-9","No","No","-9","No(or not all)","-9","No(or not all)","No","Completed",-9,2,0,0,0,0,0,0,0,0
"108","BATTE DERRICK JOVAN","2019-03-14 09:03:32.000",3,12,7,32,301207032,"2019-03-14 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","Yes(all)","No(or not all)","Yes","Completed",-9,1,3,1,0,0,0,0,0,0
"109","BATTE DERRICK JOVAN","2019-03-15 07:06:06.000",3,12,10,54,301210054,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"110","BATTE DERRICK JOVAN","2019-03-16 07:07:02.000",3,12,9,83,301209083,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,1,1,0,0,0,0,0,0
"111","BATTE DERRICK JOVAN","2019-03-17 07:06:58.000",3,12,3,54,301203054,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,4,1,0,0,0,0,0,0
