X,Y,id,hhid3,area,perimeter,Net_main,net_pbo,dname2019,ADM4_EN
34.3333583172304,0.96196359564841,24,10206,0.000005,0.009049,3,1,MANAFWA,Buwagogo
34.3184202657634,0.991651944886732,20,10210,0.000009,0.013858,3,1,MANAFWA,Buwangani Town Council
34.2986027648242,0.920923709321147,23,10207,0.000020,0.019001,3,1,MANAFWA,Khabutoola
34.3611504727328,0.863986814871716,33,10107,0.000031,0.022593,1,1,NAMISINDWA,Magale Town Council
34.2916129343171,0.961038082363329,32,10108,0.000013,0.014623,1,1,MANAFWA,Manafwa Town Council
34.2431162961872,0.904597116324244,22,10208,0.000009,0.014883,3,1,MANAFWA,Nalondo
34.3575856582355,0.994720113816834,10,10310,0.000007,0.010793,2,2,BUDUDA,Nalwanza
34.3219982803604,0.897629007267526,31,10109,0.000016,0.016515,1,1,NAMISINDWA,Namabya
34.2872735613454,0.847714596649884,21,10209,0.000030,0.027660,3,1,MANAFWA,Sisuni
34.3493640413145,0.960195652667032,30,10110,0.000007,0.013787,1,1,NAMISINDWA,Tsekululu
34.4113647719429,0.892495113514592,37,10103,0.000007,0.010603,1,1,NAMISINDWA,Bukokho
34.3754173359234,0.876673202700114,36,10104,0.000020,0.022301,1,1,NAMISINDWA,Bumbo
34.4959919087937,1.34217896044598,149,9001,0.000041,0.028227,3,1,KWEEN,Benet
34.2724280850522,1.08345604002121,79,9701,0.000004,0.009422,2,2,MBALE,Bubyangu
34.3214042135934,1.18054785117907,179,8701,0.000009,0.012330,4,2,SIRONKO,Budadiri Town Council
34.2546682956755,1.11212493117904,78,9702,0.000003,0.008148,2,2,MBALE,Bufumbo
34.4064281579678,1.16271556638055,178,8702,0.000005,0.009139,4,2,SIRONKO,Bugitimwa
34.2940862183425,1.21133372845471,174,8706,0.000024,0.033214,4,2,SIRONKO,Buhugu
34.4106343272347,1.01775116314485,18,10302,0.000005,0.012671,2,2,BUDUDA,Bukalasi
34.2670254006005,1.35645051385042,94,9506,0.000013,0.015217,1,1,BULAMBULI,Bukhalu
34.2801395725148,1.31652222486225,98,9502,0.000013,0.015798,1,1,BULAMBULI,Bukhalu
34.2553029821297,1.31643459564821,99,9501,0.000023,0.018875,1,1,BULAMBULI,Bukhalu
34.2320775607455,1.23883357970795,169,8801,0.000014,0.016508,1,1,SIRONKO,Bukhulo
34.273417228668,1.24175036503911,176,8704,0.000006,0.011998,4,2,SIRONKO,Bukiise
34.2305311064787,1.18537039746269,168,8802,0.000005,0.008092,1,1,SIRONKO,Bukiyi
34.2301624611825,1.11077836300123,76,9704,0.000014,0.018090,2,2,MBALE,Bukonde
34.2316025918238,1.09105101582288,77,9703,0.000001,0.004375,2,2,MBALE,Bukonde
34.3355874232072,1.14801479568936,175,8705,0.000007,0.012509,4,2,SIRONKO,Bukyambi
34.3239435309167,1.29439604523256,90,9510,0.000000,0.002523,1,1,BULAMBULI,Bulegeni Town Council
34.3820932316057,1.03870113905722,16,10304,0.000005,0.009599,2,2,BUDUDA,Bulucheke
34.3773333333333,1.184827,173,8707,0.000003,0.009489,4,2,SIRONKO,Bumasifwa
34.3934727810229,1.1980145575811,96,9504,0.000005,0.008728,1,1,BULAMBULI,Bumasobo
34.4199382570564,1.05571807599045,15,10305,0.000007,0.012483,2,2,BUDUDA,Bumayoka
34.2830348101571,1.12246240844784,167,8803,0.000003,0.007153,1,1,SIRONKO,Bunyafa
34.3385447448932,1.06704970597132,14,10306,0.000005,0.008354,2,2,BUDUDA,Bushika
